,stress,vision-shape,episodic memory,object recognition,motor,attention,gaze,learning,social,math,language,reward,errors,switching,audition,emotion,speech,reading,conflict,decision-making,semantic,inhibition,LTM,action,reasoning,fear,gustation,WM,motion,pain,sensory,spatial processing
dPCC_s1_L,0.11088408511776639,-0.5860519469507444,0.7909124451360047,0.061196288671679346,-0.7147334505673263,-0.05375198610481904,-0.4495667329905982,-0.35998721860045174,0.9682359262864728,-0.12383537966813175,0.3004642828212966,-0.4123004836049896,0.06652730527853797,-0.3834573683196527,-0.8903365919729791,0.05439709776172434,-1.0208938760608912,0.10287663468769526,0.10292651292786839,-0.26486974211677605,0.05405675158928918,-0.03525762964730098,0.2730054423303244,0.025184489834654575,-0.463105258541022,0.10303963480763566,-0.22163185052741535,-0.05402637567647855,-0.08511627716831169,0.029289297449835886,-0.3593944493717022,0.05897944106688113
dPCC_s2_L,-0.09262481540422073,-0.10955445997713961,1.5892479121713659,0.053298430335821836,-0.5301593471040028,-0.1871903600845925,-0.6038202025225767,-0.0676312341129857,0.6488370648681454,-0.3763273664667289,-0.16581304807462305,0.08664476451794491,-0.005780229043427299,-0.04685080780355304,-0.10935271362661371,-0.001625662978626058,-0.5794640925466639,-0.5582664862608543,-0.48149641199115173,0.3909629527652166,0.3567964866653496,-0.41532337605417974,0.5651475311922911,-0.6567604705626919,-0.3099652464853109,0.06798815955213117,0.07705514286587953,0.030131804639104417,-1.1513493817959732,-0.2042694636406561,-0.263365056497573,-0.20339479754281928
dPCC_s3_L,-0.29850831757419294,-0.1390692821221861,1.3783840240743241,0.10542679908310859,-0.37914033298853766,-0.1900061773359571,-0.6893672784966308,-0.06452675361729114,0.32866992518161,-0.2560030245645361,-0.09992644599026566,0.14852493594987146,0.28632486404017415,-0.28868876350380557,-0.06987971484282925,-0.06671266415143413,-0.11014160942625578,-0.08062133824987969,-0.5527454224940834,-0.5534408185754834,0.06697954070905486,0.12963323882532982,0.26554179578063164,-0.40736385303013095,-0.7689204548054421,0.04860351476636249,0.1438873840048771,0.1459398244291313,-0.593653542261582,-0.049339297394207386,-0.20813648250801325,-0.3207789016803191
dPCC_s5_L,-0.4342392347428243,-0.17184999196007406,1.3329467149046024,0.13235193195268555,-0.6585860461851055,-0.2712647543117535,-0.745989962192576,-0.3986040122736885,1.0183529681220662,-0.4572785005739468,0.22449750959620776,-0.2083509749415018,-0.08762374532011706,-0.40397241839477094,-0.4650872807886978,0.1464062594801761,-0.5828189590010865,-0.29875547076600306,-0.3344043828122048,0.22862774302520947,0.38766275605699285,-0.4462948436097371,0.34772424958711085,-0.47092499019377854,0.32182124014913127,0.08603620448127006,-0.39862443883970805,-0.04453046810131076,-0.0445114137356748,-0.20047754634158407,-0.44104924710164023,-0.23646088308484609
vPCC_s1_L,0.10957325011166419,-0.7116548300238521,0.5876207976251601,-0.5869070418620018,-0.8152785582368386,-0.2486168295848288,-0.6198937480207708,-0.24545623790597818,0.3453977481169996,-0.1200140820989799,-0.35763568210700003,0.42142697675575613,0.30082726257446246,-0.2181472780354932,-0.7620787596081536,0.45805096277054647,-0.13464478668778268,-0.5466296266789307,-0.016410774072517037,1.0082000417184125,-0.047634553114568746,-0.2449832448155843,0.07900732995573018,-0.6466705960485936,0.077631027819517,0.7615239386619997,0.804454291273361,-0.15333626565293695,-0.8683868993329128,0.5057924442668004,-0.7127041923545024,-0.9006144197564213
vPCC_s2_L,0.03076916082289127,-0.34764222471316675,0.5967973941951619,-0.42758100162849055,0.9168519431495324,0.05011087120241842,0.001895583553256021,0.007919225460510295,0.14232855726591387,-0.32981752257655833,-1.1733113976704843,0.18168299358141612,0.15307062183081516,0.16650936396846025,-0.9300450000253772,-0.08119863754145967,-0.2674488967613491,-0.42286000517604305,0.10710042240709633,0.626179080394318,-0.10935335439005178,0.056060008274347345,0.14304995673973336,-0.00204005381479421,0.10603061562024334,-0.7294565922579348,-0.7273138892443444,-0.1222613279492422,-1.0580593379073857,0.38114898205671516,-0.08316901129703089,-0.2670293603274687
pMCC_i2_R,0.43402458522827264,-0.6422834755512957,0.004096480572207013,-0.5916952515909074,-0.5298949246629411,-0.053222652513978806,-0.3636036287528311,-0.5597504291961689,0.31716850688680126,-0.18698420949944797,-0.40807259958769637,0.549575910837269,0.3065601130677634,0.03736075255652255,-0.4535463362896829,0.1230308887017113,-0.6321786040100179,-0.8147185230676879,0.16387674263807872,0.6037668405280504,-0.6165064451025969,0.581597278259884,-0.136073216892703,-0.5008438952265566,-0.2618790880665432,0.5810218323028628,0.05925387912618542,0.11061473376940197,-1.159556330531072,0.5580791064217594,-0.6855914006700456,-0.6178779087848774
pMCC_i1_R,0.18789226235147943,-0.28573475839581824,0.6325537787044121,0.052720305594358384,-0.23100872078715196,-0.09554684852065688,-0.4154136390639721,-0.359190222559555,0.19444613224608828,0.13467791432743348,-0.13786569268472743,-0.021064486533207347,0.09991748915940853,0.296222461125837,-0.4544993675158956,-0.10827751685428726,-0.5142004162876124,-0.6049792592719164,-0.19241231004048676,0.2900226777641623,0.4696626816981246,-0.07987025962206142,0.6182716576751361,0.1378131265917355,0.07864602958464131,-0.2850532243872568,0.15342418408783604,0.08501927668600014,-0.6439205910090646,0.11359923236108857,-0.36544234642855244,-0.20788703595122976
aMCC_i3_R,0.154766028983568,-0.646940750737107,0.2204033248481017,-0.1579797691296982,-0.4511333067905875,-0.10111152954830911,-1.040747159909644,-0.2815334865707566,0.24173500037364412,-0.3855132634370738,0.016096199225808284,0.3098139786261875,0.41332814896944786,0.09283816626581477,-0.18824391665147272,0.11953042168560454,-0.1134994255223312,0.06459303423569053,0.4661319597557508,0.6879061809411631,-0.08977005894157401,0.43306092813167507,0.3465206260156629,-0.4101212790412379,0.3877353950542948,0.4315619512958985,0.266142020279091,0.09530536418505603,-0.8887862620605806,0.8017938156954899,-0.44009812023000605,-0.3997068788402973
aMCC_i2_R,0.12447354546869309,-0.8744791167135058,-0.2747171589156536,-0.3786291743111082,0.6676486323895536,-0.27301934403629835,-0.17423509956096253,0.29458944820066213,-0.19917704733009856,-0.2967268406605735,-1.2888070062601882,0.7140350086811538,0.022723444991822897,-0.01591847557749346,-0.2448466656386495,-0.13889820770201955,-0.194981725275455,-0.4832090770802705,-0.09365138546022506,-0.31443096639762363,-0.11739282406041013,0.09589769583013924,0.1630528837663717,0.03452388796712357,-0.15824035208362472,0.6789289084456093,0.5824185600153378,-0.07602386992361679,-0.6268987129557664,1.0684115616564327,-0.28935540343856203,-0.3768108355433766
